Product_URL,Product_Image_URL,Product_Tagging,Product_Name,Product_Description,Original_Price,Discount_Price,Sizes_Available,Vouchers,Available_Colors,Color_Shown,Style_Code,Rating_Score,Review_Count
https://www.nike.com/ph/t/pegasus-42-road-running-shoes-ofkR0yvr/IB1881-602,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/dfa628f5-3f72-457b-b7ec-17e685f6b979/W+NIKE+AIR+ZOOM+PEGASUS+42.png",Recycled Materials,Nike Pegasus 42,"Responsive cushioning in the Pegasus 42 provides an energised ride for everyday road runs. Experience power in every stride thanks to the propulsive feel of a curved, full-length Air Zoom unit and a ReactX foam midsole. An updated fit gives you more space in the forefoot and toe box.",7695,7695,"5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10",0,"White/Wolf Grey/Cool Grey/Metallic Silver, Chalk/Orange Pulse/Bright Violet/Tattoo, Light Bone/Arctic Orange/Chalk/Metallic Silver, Black/Iron Grey/White, White/Malachite/Barely Green/Metallic Silver, Bleached Lilac/Work Blue/Barely Green/Blue Void, Lava Glow/Flash Crimson/Light Magenta/Black",Lava Glow/Flash Crimson/Light Magenta/Black,IB1881-602,4.8,32
https://www.nike.com/ph/t/varsity-elite-backpack-xbpFaRSl/HM9965-819,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/9f296bc3-9ad8-47fe-8dbd-003a98a17533/NK+VARSITY+ELITE+BKPK.png",Recycled Materials,Nike Varsity Elite,The Varsity Elite backpack holds everything you need to hoop. A large main compartment fits up to a full-size basketball. An exterior front pocket allows quick access to small items and a bottom pocket keeps sweaty clothes and dirty shoes separate. A trolley sleeve allows you to attach it to your luggage when travelling for those away games.,4295,4295,ONE SIZE,0,"Black/Black/Metallic Silver, Midnight Navy/Black/Iron Grey, Iron Grey/Black/Black, Tattoo/White/White, Safety Orange/Black/Wolf Grey",Safety Orange/Black/Wolf Grey,HM9965-819,4.9,55
https://www.nike.com/ph/t/air-max-95-g-golf-shoes-g4LBjtmn/HV4696-300,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/cfd9c8aa-e9c5-4f10-b04f-8c9b4ce1d8fc/AIR+MAX+95+G.png",,Nike Air Max '95 G,"Introducing the Air Max '95 G, a model that's golf-ready while maintaining the DNA of the original. There's Air everywhere and plenty of familiar Air Max-friendly features. Plus, the upper is made of synthetic leather and the traction is made of sticky rubber lugs. At last, the timeless lifestyle classic you’ve loved for three decades is ready for the links.",11495,11495,"M 5 / W 6.5, M 5.5 / W 7, M 6 / W 7.5, M 6.5 / W 8, M 7 / W 8.5, M 7.5 / W 9, M 8 / W 9.5, M 8.5 / W 10, M 9 / W 10.5, M 9.5 / W 11, M 10 / W 11.5, M 10.5 / W 12, M 11 / W 12.5, M 11.5 / W 13, M 12 / W 13.5, M 12.5 / W 14, M 13 / W 14.5, M 14 / W 15.5",0,Spruce Fog/Alabaster/Silt Red/Anthracite,Spruce Fog/Alabaster/Silt Red/Anthracite,HV4696-300,5.0,3
https://www.nike.com/ph/t/dunk-low-next-nature-shoes-wbxcmN/DD1873-113,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/43667353-8634-4a13-be26-418b9c1da59e/W+NIKE+DUNK+LOW+NEXT+NATURE.png",Recycled Materials,Nike Dunk Low Next Nature,You can always count on a classic. The Dunk Low pairs its iconic colour-blocking with premium materials and plush padding for game-changing comfort that lasts. The styling possibilities are endless—how will you wear your Dunks?,5895,3832,"5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5",35,"Hemp/Sail, White/Light Wild Mango, White/Elemental Pink, White/Light Smoke Grey",White/Light Smoke Grey,DD1873-113,4.7,282
https://www.nike.com/ph/t/kobe-ix-elite-low-protro-basketball-shoes-55edJFf8/IM0465-500,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b358a2c5-4168-4825-a8ef-f038e00e0867/KOBE+IX+ELITE+LOW+PROTRO.png",,Kobe IX Elite Low Protro,"Kobe's comeback from a torn Achilles inspired generations of past, present and future hoopers to keep fighting. This Kobe IX brings back the shoe that supported the Black Mamba during his triumphant return to the floor and gives it an upgrade. A Flyknit upper complements a springy responsive React foam in Kobe's updated low-top masterpiece.",11995,11995,"M 5 / W 6.5, M 5.5 / W 7, M 6 / W 7.5, M 6.5 / W 8, M 7 / W 8.5, M 7.5 / W 9, M 8 / W 9.5, M 8.5 / W 10, M 9 / W 10.5, M 9.5 / W 11, M 10 / W 11.5, M 10.5 / W 12, M 11 / W 12.5, M 11.5 / W 13, M 12 / W 13.5, M 12.5 / W 14, M 13 / W 14.5, M 13.5 / W 15, M 14 / W 15.5",0,Hyper Grape/Cave Purple/White,Hyper Grape/Cave Purple/White,IM0465-500,5.0,1
https://www.nike.com/ph/t/pegasus-road-running-shoes-9XMSK0/HQ2593-113,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/3940a722-2c80-40b3-af96-291255773955/W+NIKE+PEGASUS+PREMIUM.png",,Nike Pegasus Premium,"The Pegasus Premium supercharges responsive cushioning with a triple stack of our most powerful running technologies: ZoomX foam, a sculpted Air Zoom unit and ReactX foam. It's the most responsive Pegasus ever, providing high energy return unlike any other. With a lighter-than-air upper, it decreases weight and increases breathability so you can fly faster.",11995,11995,"5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10",0,"Football Grey/Total Orange/Summit White/Multi-Colour, Black/Bright Crimson/Metallic Silver, White/Metallic Silver/Metallic Silver, Guava Ice/Particle Pink/Pure Platinum/Sail, Sail/Metallic Silver/Pure Platinum/Off-Noir, Football Grey/World Indigo/White/Metallic Platinum, Orange Pulse/Bright Mango/Tattoo/Hot Lava, Tattoo/Football Grey/Hydrogen Blue/Off-Noir, Barely Grape/Violet Mist/Sapphire/Purple Dynasty, Barely Green/Work Blue/Football Grey/Blue Void, Sea Glass/Malachite/Light Silver/Metallic Silver, Light Bone/Chalk/Arctic Orange/Metallic Silver, Chalk/Orange Pulse/Light Magenta/Tattoo",Chalk/Orange Pulse/Light Magenta/Tattoo,HQ2593-113,4.2,295
https://www.nike.com/ph/t/kobe-9-low-basketball-shoes-Up4tSTpB/IH1400-600,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/4776e12d-4b91-448a-878c-9c6b1553691c/KOBE+IX+EM+PROTRO.png",,Kobe 9 Low,"Kobe's comeback from a torn Achilles inspired generations of past, present and future hoopers to keep fighting. This Kobe 9 brings back the shoe that supported the Black Mamba during his triumphant return to the floor and gives it an upgrade. An engineered mesh upper complements a springy responsive React foam in Kobe's updated low-top masterpiece.",10295,10295,"M 5.5 / W 7, M 6 / W 7.5, M 6.5 / W 8, M 7 / W 8.5, M 7.5 / W 9, M 8 / W 9.5, M 8.5 / W 10, M 9 / W 10.5, M 9.5 / W 11, M 10 / W 11.5, M 10.5 / W 12, M 11 / W 12.5, M 11.5 / W 13, M 12 / W 13.5, M 12.5 / W 14, M 13 / W 14.5, M 13.5 / W 15, M 14 / W 15.5",0,University Red/Black/Metallic Gold,University Red/Black/Metallic Gold,IH1400-600,5.0,1
https://www.nike.com/ph/t/vomero-18-road-running-shoes-tSYEf6Qr/IF0514-016,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/11120086-321a-40d7-a738-887da1462340/NIKE+VOMERO+18+WIDE.png",,Nike Vomero 18,"Maximum cushioning in the Vomero provides a comfortable ride for everyday runs. Our softest, most cushioned ride has lightweight ZoomX foam stacked on top of responsive ReactX foam in the midsole. Plus, a redesigned traction pattern offers a smooth heel-to-toe transition.",8395,5877,"6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5, 11, 11.5, 12, 12.5, 13",30,"Black/Coconut Milk/Light Iron Ore/Summit White, Black/Light Crimson/Topaz Gold/Bright Crimson",Black/Light Crimson/Topaz Gold/Bright Crimson,IF0514-016,2.9,14
https://www.nike.com/ph/t/air-jordan-4-retro-flight-club-shoes-Yu1kqwca/IM4002-100,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b5bf7176-9aaa-4e63-8bcd-50f809fc1dab/AIR+JORDAN+4+RETRO+OG+FC.png",,Air Jordan 4 Retro 'Flight Club',"If you wanted to fly like MJ, you had to join the club. The Air Jordan Flight Club. This AJ4 honours the heritage and nostalgia of the popular mail-in membership programme from the '80s and '90s. A smooth Sail and white leather upper features black and University Red accents, bringing more Jumpman DNA to the all-time classic. Bold 'Flight Club' logos combine with Nike Air heel branding for an homage to the original era. Complete with all the iconic elements—these are your ultimate fan club flex.",12095,12095,"7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5, 11, 11.5, 12, 13",0,Sail/University Red/Black,Sail/University Red/Black,IM4002-100,4.9,55
https://www.nike.com/ph/t/revolution-8-road-running-shoes-WdoyZvVX/HJ9198-105,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/05ec3350-e696-4b30-97ba-a50aafdb5155/NIKE+REVOLUTION+8.png",Recycled Materials,Nike Revolution 8,"The Revolution 8 is an evolution of your faithful favourite. Every stride is cushioned thanks to a foam midsole and a flexible forefoot that makes your steps soft. Plus, the mesh upper is even more breathable than the previous iteration, so you can run in cool, collected comfort.",3295,2307,"6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5, 11, 11.5, 12, 12.5, 13",30,"Cannon/Seaweed/Pure Platinum/White, White/Pure Platinum/Glacier Blue/Black",White/Pure Platinum/Glacier Blue/Black,HJ9198-105,4.2,94
