Product_URL,Product_Image_URL,Product_Tagging,Product_Name,Product_Description,Original_Price,Discount_Price,Sizes_Available,Vouchers,Available_Colors,Color_Shown,Style_Code,Rating_Score,Review_Count,Rank
https://www.nike.com/ph/t/dunk-low-retro-shoes-mh4Q5d/HF5441-105,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/2990f85d-8844-4e5b-a222-31ed53a5a9d4/NIKE+DUNK+LOW+RETRO.png",Recycled Materials,Nike Dunk Low Retro,You can always count on a classic. The Dunk Low pairs its iconic colour-blocking with premium materials and plush padding for game-changing comfort that lasts. The possibilities are endless—how will you wear your Dunks?,5895,5895,"6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5, 11, 11.5, 12, 12.5, 13, 14",0,"White/White/Black, White/White/Light Smoke Grey, Light Silver/Sail/Light Photo Blue",White/White/Light Smoke Grey,HF5441-105,4.8,843,1
https://www.nike.com/ph/t/vomero-18-road-running-shoes-Vn57Nq/HM6804-115,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/f554f0fb-2061-437d-b7e1-095a6a08623e/W+NIKE+VOMERO+18.png",Recycled Materials,Nike Vomero 18,"Maximum cushioning in the Vomero provides a comfortable ride for everyday runs. Our softest, most cushioned ride has lightweight ZoomX foam stacked on top of responsive ReactX foam in the midsole. Plus, a redesigned traction pattern offers a smooth heel-to-toe transition.",8395,8395,"5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10",0,"Light Bone/Phantom/College Grey/Mink Brown, Summit White/Coconut Milk/Coconut Milk/Black, Black/Coconut Milk/Light Iron Ore/Summit White, Sail/Coconut Milk/White/Summit White, Guava Ice/Orange Chalk/Sail, Hot Lava/Chalk/Orange Pulse/Black, Barely Green/Steam/Light Silver/Metallic Silver, White/Work Blue/Barely Green/Midnight Navy, Chalk/Pink Foam/Bright Violet/Tattoo, White/Bleached Turquoise/Mint Foam/Cannon, Bright Crimson/Hyper Pink/Pink Foam/White, White/Photon Dust/Summit White/Metallic Silver, Black/Dark Smoke Grey/Light Smoke Grey/Black",White/Work Blue/Barely Green/Midnight Navy,HM6804-115,4.8,472,2
https://www.nike.com/ph/t/vomero-18-road-running-shoes-snsbkH/HM6803-404,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a3a48123-513c-4a5e-9d5a-2eb8d969dcd9/NIKE+VOMERO+18.png",Recycled Materials,Nike Vomero 18,"Maximum cushioning in the Vomero provides a comfortable ride for everyday runs. Our softest, most cushioned ride has lightweight ZoomX foam stacked on top of responsive ReactX foam in the midsole. Plus, a redesigned traction pattern offers a smooth heel-to-toe transition.",8395,8395,"6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5, 11, 11.5, 12, 12.5, 13",0,"White/Electric Green/Volt/Black, Summit White/Coconut Milk/Coconut Milk/Black, Black/Dark Smoke Grey/Light Smoke Grey/Black, Black/Coconut Milk/Light Iron Ore/Summit White, Glacier Blue/White/Hyper Pink/Black, Citron Pulse/Laser Orange/Hyper Violet/Blue Void, Hydrogen Blue/Laser Orange/Total Orange/Black, White/Mineral Slate/Mineral/Black, White/Volt Tint/Sapphire/Black Spruce, Black/Bright Crimson/Team Red/Summit White",Hydrogen Blue/Laser Orange/Total Orange/Black,HM6803-404,4.8,472,2
https://www.nike.com/ph/t/air-max-portal-shoes-JDRVJw/HF3053-400,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ff2a897c-0cd1-4a16-ac13-8ef6f6e5e289/W+NIKE+AIR+MAX+PORTAL.png",Recycled Materials,Nike Air Max Portal,"Transport your style with a new Air Max. The Portal is the perfect blend of chunky and sleek, combining the platform sole of 2000s with the minimalist upper of contemporary designs. We added an oval-shaped midsole with cloud-like cushioning for an elevated look you can wear every day. It's so comfortable it's out of this world.",6195,3717,"5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5",40,"Black/Hot Punch/Sail/Volt, White/Pure Platinum/White, Summit White/Black/Sail, White/Midnight Navy/Bright Crimson, Midnight Navy/Summit White, Black/Black/White, White/Steam/Barely Green, Pearl Pink/Pink Foam/Light Magenta/Sail",Midnight Navy/Summit White,HF3053-400,4.8,154,3
https://www.nike.com/ph/t/air-max-dn-shoes-FtLNfm/DV3337-006,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/35c07f69-1d7a-4272-abe4-4adf4b9a9d2f/AIR+MAX+DN.png",Recycled Materials,Nike Air Max Dn,"Say hello to the next generation of Air technology. The Air Max Dn features our Dynamic Air unit system of dual-pressure tubes, creating a reactive sensation with every step. This results in a futuristic design that's comfortable enough to wear from day to night. Go ahead—Feel The Unreal.",8395,5037,"M 6 / W 7.5, M 6.5 / W 8, M 7 / W 8.5, M 7.5 / W 9, M 8 / W 9.5, M 8.5 / W 10, M 9 / W 10.5, M 9.5 / W 11, M 10 / W 11.5, M 10.5 / W 12, M 11 / W 12.5, M 11.5 / W 13, M 12 / W 13.5, M 12.5 / W 14, M 13 / W 14.5",40,"Black/Cool Grey/Pure Platinum/White, Black/Black/Metallic Dark Grey/Black, White/White/Metallic Silver/White",Black/Black/Metallic Dark Grey/Black,DV3337-006,4.7,556,4
https://www.nike.com/ph/t/air-max-dn-shoes-drXjb8/FJ3145-003,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b768ac95-eca6-4948-83d8-d34efce41ba5/W+AIR+MAX+DN.png",Recycled Materials,Nike Air Max Dn,"Say hello to the next generation of Air technology. The Air Max Dn features our Dynamic Air unit system of dual-pressure tubes, creating a reactive sensation with every step. This results in a futuristic design that's comfortable enough to wear from day to night. Go ahead—Feel The Unreal.",8395,5457,"W 5 / M 3.5, W 5.5 / M 4, W 6 / M 4.5, W 6.5 / M 5, W 7 / M 5.5, W 7.5 / M 6, W 8 / M 6.5, W 8.5 / M 7, W 9 / M 7.5, W 9.5 / M 8, W 10.5 / M 9, W 11 / M 9.5, W 11.5 / M 10, W 12 / M 10.5",35,Black/Black/Metallic Dark Grey/Black,Black/Black/Metallic Dark Grey/Black,FJ3145-003,4.7,556,4
https://www.nike.com/ph/t/dunk-low-next-nature-shoes-wbxcmN/DD1873-113,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/43667353-8634-4a13-be26-418b9c1da59e/W+NIKE+DUNK+LOW+NEXT+NATURE.png",Recycled Materials,Nike Dunk Low Next Nature,You can always count on a classic. The Dunk Low pairs its iconic colour-blocking with premium materials and plush padding for game-changing comfort that lasts. The styling possibilities are endless—how will you wear your Dunks?,5895,3832,"5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5",35,"Hemp/Sail, White/Light Wild Mango, White/Elemental Pink, White/Light Smoke Grey",White/Light Smoke Grey,DD1873-113,4.7,282,5
https://www.nike.com/ph/t/court-borough-low-recraft-older-shoes-cg2qJ0/DV5456-139,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/f9cf2b99-abca-4eeb-85ef-d23888195e3c/COURT+BOROUGH+LOW+RECRAFT+%28GS%29.png",Recycled Materials,Nike Court Borough Low Recraft,"Run (don't walk) to your new favourite Borough. Made for the long haul, this ""recrafted"" legend uses a combination of durable materials on the upper and outsole to achieve a classic look made in a whole new way. A redesigned toe box and midfoot give your feet a little extra room so you can run, jump and play just a bit longer and a little bit harder.",2895,2895,"3.5Y, 4Y, 4.5Y, 5Y, 5.5Y, 6Y, 6.5Y, 7Y",0,"Black/Black/Black, Light Iron Ore/White/Photo Blue/Vapour Green, White/Black, White/White/White, White/Football Grey/Stadium Green, White/Pinksicle/Arctic Orange, White/Burgundy Crush, White/Laser Fuchsia, White/Photon Dust/Terra Blush/Racer Blue, White/Black, Midnight Navy/Team Orange/Light Silver/Hyper Royal, University Red/White/Black, Sail/Particle Rose/White/Light Orewood Brown, White/Malachite/White/Malachite",White/Malachite/White/Malachite,DV5456-139,4.7,201,6
https://www.nike.com/ph/t/v2k-run-shoes-with-reflective-design-accents-zJV8TV/FD0736-115,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/57aec1ad-46a8-4671-ba4c-1cd251a36b21/W+NIKE+V2K+RUN.png",Recycled Materials,Nike V2K Run,"Fast-forward. Rewind. Doesn't matter—this shoe takes retro into the future. The V2K remasters everything you love about the Vomero in a look pulled straight from an early '00s running catalogue. Layer up in a mixture of flashy metallics, referential plastic details and a midsole with a perfectly vintage aesthetic. And the chunky heel makes sure wherever you go, it's in comfort.",6895,4827,"5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10",30,"White/Photon Dust/Fir/Platinum Tint, Pure Platinum/Wolf Grey/Cool Grey/Metallic Cool Grey, Summit White/Pure Platinum/Light Iron Ore/Metallic Silver, White/Platinum Tint/Pure Platinum/Metallic Silver, Particle Beige/College Grey/Light Bone/Particle Beige, Platinum Tint/Summit White/Cave Stone/Metallic Silver, Summit White/Vast Grey/Alabaster/Pink Spell, Sand Drift/Shimmer/Fauna Brown/Pink Foam, Particle Rose/Tattoo/Light Violet Ore/Tattoo",Sand Drift/Shimmer/Fauna Brown/Pink Foam,FD0736-115,4.6,269,7
https://www.nike.com/ph/t/pegasus-plus-road-running-shoes-DW06JM/FQ7261-503,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/3252a3f9-7a10-4dce-9a8e-495c47600573/W+PEGASUS+PLUS.png",Recycled Materials,Nike Pegasus Plus,"Take responsive cushioning to the next level with the Pegasus Plus. It energises your ride with full-length, super-light ZoomX foam to give you a high level of energy return for everyday runs. And a stretchy Flyknit upper contours to your foot for a seamless fit.",9895,6927,"5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10",30,"Black/Dark Grey/Beyond Pink/Glacier Blue, Platinum Tint/Pure Platinum/Barely Volt/Black, Sapphire/Light Thistle/Violet Mist/Purple Dynasty, Coconut Milk/Light Silver/Barely Green/Black Spruce, Chalk/Light Magenta/Bright Crimson/Tattoo",Sapphire/Light Thistle/Violet Mist/Purple Dynasty,FQ7261-503,4.6,223,8
